Run,Strategy,Best Value,Benchmark
1,elitist,2.754605184396297e-06,Ackley
2,elitist,2.0034839964822027e-07,Ackley
3,elitist,2.7524209444962366e-07,Ackley
4,elitist,2.9302962798460896e-06,Ackley
5,elitist,1.5086088357652017e-05,Ackley
6,elitist,5.150950994625703e-07,Ackley
7,elitist,1.384743140153688e-06,Ackley
8,elitist,2.7345386652832815e-06,Ackley
9,elitist,3.5784598932941947e-06,Ackley
10,elitist,2.7828457267453643e-06,Ackley
11,elitist,1.6020370563474273e-06,Ackley
12,elitist,2.2933616872666818e-05,Ackley
13,elitist,4.8906911662705e-06,Ackley
14,elitist,3.950722458956335e-06,Ackley
15,elitist,4.705402780746937e-06,Ackley
16,elitist,4.578442873715005e-07,Ackley
17,elitist,6.73682540552889e-06,Ackley
18,elitist,2.2080494592735533e-06,Ackley
19,elitist,3.0958183754314916e-06,Ackley
20,elitist,7.011491907071843e-07,Ackley
21,elitist,5.057973929911697e-06,Ackley
22,elitist,4.80209555009381e-06,Ackley
23,elitist,8.772429982872865e-06,Ackley
24,elitist,1.8176925959956236e-06,Ackley
25,elitist,3.5159537685736098e-06,Ackley
1,simulated_annealing,6.172905431256481e-08,Ackley
2,simulated_annealing,6.346320664540883e-07,Ackley
3,simulated_annealing,5.418473958407333e-07,Ackley
4,simulated_annealing,7.362130375998532e-06,Ackley
5,simulated_annealing,2.0864922597230162e-05,Ackley
6,simulated_annealing,1.209724168393933e-06,Ackley
7,simulated_annealing,7.315519714445884e-07,Ackley
8,simulated_annealing,1.3025997174231918e-06,Ackley
9,simulated_annealing,3.2687634115013964e-06,Ackley
10,simulated_annealing,1.1410477310125344e-05,Ackley
11,simulated_annealing,1.7335607875867964e-05,Ackley
12,simulated_annealing,1.1296578044994732e-05,Ackley
13,simulated_annealing,1.4546937774362334e-06,Ackley
14,simulated_annealing,2.371599170380989e-07,Ackley
15,simulated_annealing,1.0417539759721706e-06,Ackley
16,simulated_annealing,9.322045788628941e-07,Ackley
17,simulated_annealing,3.0151144803092222e-06,Ackley
18,simulated_annealing,1.4561667093904163e-05,Ackley
19,simulated_annealing,4.567825332646436e-06,Ackley
20,simulated_annealing,6.088728725206494e-06,Ackley
21,simulated_annealing,5.365115310684843e-06,Ackley
22,simulated_annealing,4.657245253003595e-06,Ackley
23,simulated_annealing,1.7777343015445979e-06,Ackley
24,simulated_annealing,8.524687367117423e-06,Ackley
25,simulated_annealing,2.0292132814070385e-06,Ackley
1,roulette,0.002282928155942887,Ackley
2,roulette,0.00174202165867543,Ackley
3,roulette,0.004423776123328782,Ackley
4,roulette,0.0014431965043901762,Ackley
5,roulette,0.003698731054104787,Ackley
6,roulette,0.0019346400304205424,Ackley
7,roulette,0.0035820137868509683,Ackley
8,roulette,0.0016480118419477385,Ackley
9,roulette,0.0016438381110757128,Ackley
10,roulette,0.003795697981864965,Ackley
11,roulette,0.0016129405158733512,Ackley
12,roulette,0.0026747172469510083,Ackley
13,roulette,0.0025941332017045404,Ackley
14,roulette,0.0018781293277574385,Ackley
15,roulette,0.0005836958931060288,Ackley
16,roulette,0.007677358982363547,Ackley
17,roulette,0.0012544464811132805,Ackley
18,roulette,0.002752442625052698,Ackley
19,roulette,0.0033867299249021876,Ackley
20,roulette,0.0010426269665591015,Ackley
21,roulette,0.00238462925255023,Ackley
22,roulette,0.003492167776336874,Ackley
23,roulette,0.0011273885722578036,Ackley
24,roulette,0.0030678357780620225,Ackley
25,roulette,0.0013341931664183626,Ackley
1,tournament,0.00034123311933287326,Ackley
2,tournament,0.0003924731091449196,Ackley
3,tournament,4.602832531164225e-05,Ackley
4,tournament,0.00048614212622100084,Ackley
5,tournament,0.0007374052138477971,Ackley
6,tournament,0.0004223303693717817,Ackley
7,tournament,0.00019473866131791695,Ackley
8,tournament,0.00013097272523809877,Ackley
9,tournament,0.0005513281338207499,Ackley
10,tournament,7.734561712924304e-05,Ackley
11,tournament,0.00012396097649203242,Ackley
12,tournament,0.0007069968986290753,Ackley
13,tournament,0.00012717388264293916,Ackley
14,tournament,0.0010026216472920346,Ackley
15,tournament,0.00043999598808897034,Ackley
16,tournament,0.00024148104794408098,Ackley
17,tournament,0.0002725733262107788,Ackley
18,tournament,0.00028830535476531693,Ackley
19,tournament,8.580972054916813e-05,Ackley
20,tournament,0.0008478341027395864,Ackley
21,tournament,5.084080877226782e-05,Ackley
22,tournament,0.0002019575086547043,Ackley
23,tournament,2.411812412406178e-05,Ackley
24,tournament,0.0009752552394783898,Ackley
25,tournament,0.00016123397090384017,Ackley
1,rank,0.03335100532425672,Ackley
2,rank,0.06586435804311508,Ackley
3,rank,0.034429692706556825,Ackley
4,rank,0.08220311939042846,Ackley
5,rank,0.12459142464944195,Ackley
6,rank,0.10119126573478043,Ackley
7,rank,0.08934003846119909,Ackley
8,rank,0.008342522795800722,Ackley
9,rank,0.027374319321733953,Ackley
10,rank,0.04851407271429453,Ackley
11,rank,0.057937809512911276,Ackley
12,rank,0.04210489757058555,Ackley
13,rank,0.12469685550583565,Ackley
14,rank,0.014488859271424293,Ackley
15,rank,0.08432510816430083,Ackley
16,rank,0.10565429553890526,Ackley
17,rank,0.13608036601624507,Ackley
18,rank,0.07200655860517147,Ackley
19,rank,0.061945919985401776,Ackley
20,rank,0.02180879970308469,Ackley
21,rank,0.07530342884805608,Ackley
22,rank,0.05779825581756315,Ackley
23,rank,0.10744287605816227,Ackley
24,rank,0.016240673911898984,Ackley
25,rank,0.02172435609366774,Ackley
