Run,Strategy,Best Value,Benchmark
1,elitist,8.662639200836952e-13,Booth
2,elitist,7.250701499549223e-12,Booth
3,elitist,2.0642182416628895e-12,Booth
4,elitist,1.2754045075652551e-12,Booth
5,elitist,1.7808728269660486e-11,Booth
6,elitist,2.2279297050394343e-12,Booth
7,elitist,6.182500787562626e-12,Booth
8,elitist,3.3361273511363406e-13,Booth
9,elitist,2.6370182099104568e-12,Booth
10,elitist,8.557808030310499e-14,Booth
11,elitist,5.085120707076005e-14,Booth
12,elitist,1.868397322283778e-12,Booth
13,elitist,2.8336499619295545e-12,Booth
14,elitist,7.003312724282965e-14,Booth
15,elitist,9.548387673112488e-12,Booth
16,elitist,2.2151599154728277e-12,Booth
17,elitist,5.332105192320136e-12,Booth
18,elitist,6.749668187784366e-13,Booth
19,elitist,1.2957150493471974e-11,Booth
20,elitist,5.598498168795188e-13,Booth
21,elitist,4.3376925935834345e-11,Booth
22,elitist,2.850390999592106e-13,Booth
23,elitist,2.841798657677216e-13,Booth
24,elitist,2.980492061810541e-13,Booth
25,elitist,1.1195454574433081e-14,Booth
1,simulated_annealing,3.240198618814782e-12,Booth
2,simulated_annealing,4.53175704734961e-12,Booth
3,simulated_annealing,8.449140861543319e-12,Booth
4,simulated_annealing,3.731430327163483e-13,Booth
5,simulated_annealing,9.333453287402874e-12,Booth
6,simulated_annealing,3.6496239204051283e-13,Booth
7,simulated_annealing,1.3547052611635233e-13,Booth
8,simulated_annealing,7.1342677644312324e-12,Booth
9,simulated_annealing,6.182802617794627e-13,Booth
10,simulated_annealing,1.6788312716266723e-11,Booth
11,simulated_annealing,7.805130868310424e-13,Booth
12,simulated_annealing,7.478012741392875e-12,Booth
13,simulated_annealing,3.4361693213213488e-12,Booth
14,simulated_annealing,3.569391539393536e-13,Booth
15,simulated_annealing,1.3744133494189267e-12,Booth
16,simulated_annealing,2.343773283684369e-13,Booth
17,simulated_annealing,5.84338013345323e-13,Booth
18,simulated_annealing,5.138839951954012e-14,Booth
19,simulated_annealing,8.952092175432097e-12,Booth
20,simulated_annealing,4.3223921613854995e-12,Booth
21,simulated_annealing,1.8143932221569495e-12,Booth
22,simulated_annealing,2.828352989432395e-12,Booth
23,simulated_annealing,5.610872025457224e-13,Booth
24,simulated_annealing,1.7180812065781444e-13,Booth
25,simulated_annealing,8.030109049935986e-13,Booth
1,roulette,3.662623093433174e-06,Booth
2,roulette,5.828905332830071e-06,Booth
3,roulette,3.935747926387179e-06,Booth
4,roulette,1.824585331081889e-06,Booth
5,roulette,3.110652122590551e-07,Booth
6,roulette,3.64069055008618e-06,Booth
7,roulette,2.5907308285675854e-06,Booth
8,roulette,4.4178259849765e-06,Booth
9,roulette,1.1937035860492046e-06,Booth
10,roulette,1.689288715092482e-06,Booth
11,roulette,2.389681564633635e-06,Booth
12,roulette,1.2194319069739866e-05,Booth
13,roulette,8.536471735133736e-06,Booth
14,roulette,2.6404477043986336e-06,Booth
15,roulette,4.6581830025074456e-05,Booth
16,roulette,5.324241338399742e-07,Booth
17,roulette,4.5244173371964176e-06,Booth
18,roulette,6.44992974542224e-05,Booth
19,roulette,8.21942644084005e-06,Booth
20,roulette,6.5493606165913855e-06,Booth
21,roulette,2.3020394543222183e-05,Booth
22,roulette,9.182677668988968e-07,Booth
23,roulette,4.320963623461918e-06,Booth
24,roulette,2.9109723508775067e-06,Booth
25,roulette,1.1217067356382077e-05,Booth
1,tournament,6.574741440377427e-08,Booth
2,tournament,1.1308006610375143e-07,Booth
3,tournament,1.2805909473594305e-08,Booth
4,tournament,1.9025721182777787e-08,Booth
5,tournament,5.0214735846234984e-08,Booth
6,tournament,8.771018698452134e-09,Booth
7,tournament,3.091169484881925e-08,Booth
8,tournament,9.7012215047008e-09,Booth
9,tournament,1.57447333787751e-08,Booth
10,tournament,3.6360470268938874e-07,Booth
11,tournament,2.834878873737732e-09,Booth
12,tournament,8.81264100632939e-09,Booth
13,tournament,4.4757337493307264e-08,Booth
14,tournament,8.46088624121801e-08,Booth
15,tournament,5.230045153474132e-08,Booth
16,tournament,4.411754948724527e-09,Booth
17,tournament,3.137158518848649e-08,Booth
18,tournament,7.735285880996934e-10,Booth
19,tournament,3.6265182955575176e-08,Booth
20,tournament,3.805473124068407e-09,Booth
21,tournament,7.544571838030264e-09,Booth
22,tournament,4.427029907493731e-09,Booth
23,tournament,1.1582239408323777e-08,Booth
24,tournament,4.71340390830989e-08,Booth
25,tournament,1.0520890558451179e-07,Booth
1,rank,0.0009240569619360902,Booth
2,rank,0.00034970550886124986,Booth
3,rank,0.001562283796845778,Booth
4,rank,0.0008912899591102779,Booth
5,rank,5.2368556496343816e-05,Booth
6,rank,0.0005205086314671601,Booth
7,rank,0.00032402939651183713,Booth
8,rank,3.828245889195194e-06,Booth
9,rank,0.0005268602707913835,Booth
10,rank,0.0001509440800384286,Booth
11,rank,0.0009862981636352367,Booth
12,rank,2.555525286170692e-06,Booth
13,rank,0.0003291397722980215,Booth
14,rank,0.00023001583471287044,Booth
15,rank,0.00046004419973800245,Booth
16,rank,0.0010097734459129266,Booth
17,rank,3.940396696418013e-05,Booth
18,rank,0.0004138756777389021,Booth
19,rank,5.33324633414768e-05,Booth
20,rank,0.00034430626744094586,Booth
21,rank,0.0008856390760123771,Booth
22,rank,0.0010184841393198615,Booth
23,rank,0.00038153064392259687,Booth
24,rank,7.893052719892155e-05,Booth
25,rank,0.00041956855565948115,Booth
