Run,Strategy,Best Value,Benchmark
1,elitist,-1.9869952063012164,Michalewicz
2,elitist,-1.7869407496760819,Michalewicz
3,elitist,-1.8422876549229923,Michalewicz
4,elitist,-1.9869921593728628,Michalewicz
5,elitist,-1.8422877144850156,Michalewicz
6,elitist,-1.9423921240898692,Michalewicz
7,elitist,-1.9869776411208921,Michalewicz
8,elitist,-1.9869952063264573,Michalewicz
9,elitist,-1.9869951949665727,Michalewicz
10,elitist,-1.9869952063205578,Michalewicz
11,elitist,-1.9862703632299026,Michalewicz
12,elitist,-1.9869951812521869,Michalewicz
13,elitist,-1.986995206309505,Michalewicz
14,elitist,-1.9423921213874087,Michalewicz
15,elitist,-1.9869947036462052,Michalewicz
16,elitist,-1.9869952055496416,Michalewicz
17,elitist,-1.9869952063239862,Michalewicz
18,elitist,-1.9869951940477728,Michalewicz
19,elitist,-1.8422877181896535,Michalewicz
20,elitist,-1.8422877181885808,Michalewicz
21,elitist,-1.986995193296025,Michalewicz
22,elitist,-1.9869839484356955,Michalewicz
23,elitist,-1.927819466162806,Michalewicz
24,elitist,-1.9833238987295227,Michalewicz
25,elitist,-1.8420085448544636,Michalewicz
1,simulated_annealing,-1.9869944851803987,Michalewicz
2,simulated_annealing,-1.9392933959307546,Michalewicz
3,simulated_annealing,-1.986995201482579,Michalewicz
4,simulated_annealing,-1.8422877181894801,Michalewicz
5,simulated_annealing,-1.9869952023307231,Michalewicz
6,simulated_annealing,-1.9869951745251093,Michalewicz
7,simulated_annealing,-1.8422877181904644,Michalewicz
8,simulated_annealing,-1.9869952038066598,Michalewicz
9,simulated_annealing,-1.8422877181869848,Michalewicz
10,simulated_annealing,-1.986995206325646,Michalewicz
11,simulated_annealing,-1.842287718190454,Michalewicz
12,simulated_annealing,-1.8422877167098597,Michalewicz
13,simulated_annealing,-1.986995091911476,Michalewicz
14,simulated_annealing,-1.9869952063050667,Michalewicz
15,simulated_annealing,-1.8422877180334902,Michalewicz
16,simulated_annealing,-1.9869951855988064,Michalewicz
17,simulated_annealing,-1.9869952061383507,Michalewicz
18,simulated_annealing,-1.8422877181884436,Michalewicz
19,simulated_annealing,-1.9869174057902166,Michalewicz
20,simulated_annealing,-1.9869952061513554,Michalewicz
21,simulated_annealing,-1.9869952013890635,Michalewicz
22,simulated_annealing,-1.9808990298229636,Michalewicz
23,simulated_annealing,-1.9869948245590618,Michalewicz
24,simulated_annealing,-1.986995206323737,Michalewicz
25,simulated_annealing,-1.8422877181811232,Michalewicz
1,roulette,-1.7816722719183802,Michalewicz
2,roulette,-1.947686480758464,Michalewicz
3,roulette,-1.8918926323536094,Michalewicz
