Run,Strategy,Best Value,Benchmark
1,elitist,0.0014533849484313045,Rosenbrock
2,elitist,1.3070931288672355e-06,Rosenbrock
3,elitist,4.760412536020708e-06,Rosenbrock
4,elitist,9.73890294382102e-07,Rosenbrock
5,elitist,3.535478102013607e-06,Rosenbrock
6,elitist,1.8067104618656912e-07,Rosenbrock
7,elitist,0.00012943770945697997,Rosenbrock
8,elitist,9.864650199534037e-05,Rosenbrock
9,elitist,0.11623622385028688,Rosenbrock
10,elitist,2.59052375146421e-07,Rosenbrock
11,elitist,0.011338408853376145,Rosenbrock
12,elitist,1.1153823222733652e-05,Rosenbrock
13,elitist,4.734419801408631e-06,Rosenbrock
14,elitist,1.0755998301338608e-06,Rosenbrock
15,elitist,4.1879024476421964e-07,Rosenbrock
16,elitist,0.000462754812745177,Rosenbrock
17,elitist,0.00023307911838079133,Rosenbrock
18,elitist,0.08582112551708453,Rosenbrock
19,elitist,8.196441459922393e-07,Rosenbrock
20,elitist,2.6502707097796675e-09,Rosenbrock
21,elitist,16.22034350657263,Rosenbrock
22,elitist,2.4381751463038426e-06,Rosenbrock
23,elitist,5.314848200638844e-06,Rosenbrock
24,elitist,0.12162180446127413,Rosenbrock
25,elitist,0.0007521876750828219,Rosenbrock
1,simulated_annealing,0.00022707538600898246,Rosenbrock
2,simulated_annealing,5.5954164542999024e-05,Rosenbrock
3,simulated_annealing,0.00022425379547298256,Rosenbrock
4,simulated_annealing,4.991365232921558e-07,Rosenbrock
5,simulated_annealing,3.152595959407693e-05,Rosenbrock
6,simulated_annealing,0.0001407700629305586,Rosenbrock
7,simulated_annealing,9.056644694665475e-06,Rosenbrock
8,simulated_annealing,0.030037720885078213,Rosenbrock
9,simulated_annealing,7.08083660115316e-07,Rosenbrock
10,simulated_annealing,8.207020556862208e-07,Rosenbrock
11,simulated_annealing,4.1655582881304875e-05,Rosenbrock
12,simulated_annealing,2.508704702815732e-05,Rosenbrock
13,simulated_annealing,0.00038790614377850867,Rosenbrock
14,simulated_annealing,0.4102707801485585,Rosenbrock
15,simulated_annealing,7.267895533229912,Rosenbrock
16,simulated_annealing,0.00942369873803824,Rosenbrock
17,simulated_annealing,1.0203175324974286e-05,Rosenbrock
18,simulated_annealing,9.346998874221677e-05,Rosenbrock
19,simulated_annealing,1.8146512059053324,Rosenbrock
20,simulated_annealing,7.065122485972644e-07,Rosenbrock
21,simulated_annealing,4.001831284707771,Rosenbrock
22,simulated_annealing,2.6913326189881113e-06,Rosenbrock
23,simulated_annealing,0.002098699524926963,Rosenbrock
24,simulated_annealing,2.5596988585852696e-07,Rosenbrock
25,simulated_annealing,3.6364043045400186e-06,Rosenbrock
1,roulette,4.787752097587651,Rosenbrock
2,roulette,0.3271485509621375,Rosenbrock
3,roulette,0.05212502131205377,Rosenbrock
4,roulette,0.11397386499892627,Rosenbrock
5,roulette,0.879615133578658,Rosenbrock
6,roulette,0.17968893543167852,Rosenbrock
7,roulette,0.03268080274509643,Rosenbrock
8,roulette,0.008137991242246644,Rosenbrock
9,roulette,0.7492117429172183,Rosenbrock
10,roulette,1.1669629032380646,Rosenbrock
11,roulette,1.3176627972222377,Rosenbrock
12,roulette,0.27938182104871045,Rosenbrock
13,roulette,0.1352736216771333,Rosenbrock
14,roulette,0.06722795093879638,Rosenbrock
15,roulette,1.216357299482009,Rosenbrock
16,roulette,0.17004501236411873,Rosenbrock
17,roulette,1.3980511422861344,Rosenbrock
18,roulette,0.006903347347378786,Rosenbrock
19,roulette,0.12225990210901226,Rosenbrock
20,roulette,0.022961506082465683,Rosenbrock
21,roulette,0.14053933001811925,Rosenbrock
22,roulette,0.4167436908108433,Rosenbrock
23,roulette,0.08921581460402112,Rosenbrock
24,roulette,0.0022833920549570515,Rosenbrock
25,roulette,0.32918106978109185,Rosenbrock
1,tournament,0.002126866981521806,Rosenbrock
2,tournament,1.0660141565245604,Rosenbrock
3,tournament,0.03486855394608092,Rosenbrock
4,tournament,0.12060383835024545,Rosenbrock
5,tournament,0.3052948334425699,Rosenbrock
6,tournament,0.024576744771215707,Rosenbrock
7,tournament,0.006573031574775541,Rosenbrock
8,tournament,0.019360039093733412,Rosenbrock
9,tournament,0.12215448512028636,Rosenbrock
10,tournament,0.002710012001067002,Rosenbrock
11,tournament,0.28396178230902436,Rosenbrock
12,tournament,0.07188407716429919,Rosenbrock
13,tournament,0.01775944580221514,Rosenbrock
14,tournament,0.05790270499747336,Rosenbrock
15,tournament,0.11886033654856876,Rosenbrock
16,tournament,0.08262856712705931,Rosenbrock
17,tournament,0.7591978094069113,Rosenbrock
18,tournament,0.05137872109166725,Rosenbrock
19,tournament,0.023972776012413294,Rosenbrock
20,tournament,0.1848953603706111,Rosenbrock
21,tournament,0.39226633162953106,Rosenbrock
22,tournament,0.7007764464809572,Rosenbrock
23,tournament,0.004753198290844971,Rosenbrock
24,tournament,0.06268068866964067,Rosenbrock
25,tournament,0.04541698597627243,Rosenbrock
1,rank,0.6649141207810445,Rosenbrock
2,rank,0.14102620471414803,Rosenbrock
3,rank,0.9208166744540452,Rosenbrock
4,rank,0.13908104384159986,Rosenbrock
5,rank,1.2639916463133933,Rosenbrock
6,rank,0.1404131983525405,Rosenbrock
7,rank,0.08467235542985775,Rosenbrock
8,rank,0.061949799434034045,Rosenbrock
9,rank,0.3477702889953177,Rosenbrock
10,rank,1.8976817241997483,Rosenbrock
11,rank,0.98203560908272,Rosenbrock
12,rank,1.6399652225797827,Rosenbrock
13,rank,0.3664332259063587,Rosenbrock
14,rank,0.10453116541244818,Rosenbrock
15,rank,0.44060924044060024,Rosenbrock
16,rank,0.14666932081472853,Rosenbrock
17,rank,0.5534019377807875,Rosenbrock
18,rank,0.8477876734709967,Rosenbrock
19,rank,0.5050130615706417,Rosenbrock
20,rank,0.12284746528125341,Rosenbrock
21,rank,0.28094249662898596,Rosenbrock
22,rank,0.22756250193852587,Rosenbrock
23,rank,0.0944240501875708,Rosenbrock
24,rank,1.2381052998455315,Rosenbrock
25,rank,0.023448731595245673,Rosenbrock
