Run,Strategy,Best Value,Benchmark
1,elitist,1.13168369656539e-11,Spherical
2,elitist,3.072544732026648e-11,Spherical
3,elitist,1.3320112992134942e-11,Spherical
4,elitist,7.694662483330407e-12,Spherical
5,elitist,2.2455925132301555e-12,Spherical
6,elitist,4.0491204785738955e-12,Spherical
7,elitist,1.3655402505199013e-11,Spherical
8,elitist,1.3065070899897848e-12,Spherical
9,elitist,4.257271279132269e-11,Spherical
10,elitist,1.6117329780991708e-11,Spherical
11,elitist,8.178079510185394e-12,Spherical
12,elitist,5.568401138587341e-12,Spherical
13,elitist,9.89424125638013e-11,Spherical
14,elitist,7.207424546304648e-11,Spherical
15,elitist,4.0012228720776376e-11,Spherical
16,elitist,3.8028750673986e-11,Spherical
17,elitist,6.928390159065052e-12,Spherical
18,elitist,2.1770774332842183e-11,Spherical
19,elitist,1.051529951931174e-11,Spherical
20,elitist,3.1076690236337015e-13,Spherical
21,elitist,7.54080278562944e-13,Spherical
22,elitist,3.574623422716541e-12,Spherical
23,elitist,1.589516757312015e-11,Spherical
24,elitist,6.825190830801289e-13,Spherical
25,elitist,1.0688572602517662e-11,Spherical
1,simulated_annealing,7.001875261708817e-11,Spherical
2,simulated_annealing,1.065218253868023e-12,Spherical
3,simulated_annealing,3.4823277364058053e-12,Spherical
4,simulated_annealing,3.8900516356781775e-11,Spherical
5,simulated_annealing,2.471479623686135e-13,Spherical
6,simulated_annealing,3.971591611500947e-11,Spherical
7,simulated_annealing,3.818947621834753e-14,Spherical
8,simulated_annealing,1.938103113245248e-12,Spherical
9,simulated_annealing,2.527318002176537e-11,Spherical
10,simulated_annealing,1.2038709049979809e-12,Spherical
11,simulated_annealing,1.2019233592040566e-11,Spherical
12,simulated_annealing,3.2170970010813876e-12,Spherical
13,simulated_annealing,3.6177794117667214e-12,Spherical
14,simulated_annealing,1.7713112112647223e-11,Spherical
15,simulated_annealing,1.1076993749940721e-11,Spherical
16,simulated_annealing,1.7004097342787968e-12,Spherical
17,simulated_annealing,4.371616448490603e-13,Spherical
18,simulated_annealing,4.0533014140141117e-11,Spherical
19,simulated_annealing,2.363330936306834e-11,Spherical
20,simulated_annealing,2.7249194212687023e-12,Spherical
21,simulated_annealing,4.69781716823622e-13,Spherical
22,simulated_annealing,1.29516320062325e-11,Spherical
23,simulated_annealing,4.936594284388557e-12,Spherical
24,simulated_annealing,1.8263971679276956e-13,Spherical
25,simulated_annealing,1.1814418650812875e-11,Spherical
1,roulette,0.0001295355319287032,Spherical
2,roulette,5.553816585377313e-06,Spherical
3,roulette,1.897623327879534e-05,Spherical
4,roulette,1.2829353110315072e-06,Spherical
5,roulette,4.9041302692769685e-06,Spherical
6,roulette,1.5936819313186107e-05,Spherical
7,roulette,5.7215506665045775e-06,Spherical
8,roulette,3.109310141570054e-05,Spherical
9,roulette,5.353610078277987e-07,Spherical
10,roulette,1.0029128979557452e-05,Spherical
11,roulette,6.296178368160336e-06,Spherical
12,roulette,6.437859507367297e-05,Spherical
13,roulette,5.910362931856057e-05,Spherical
14,roulette,7.417603135287302e-05,Spherical
15,roulette,2.3658952264420087e-07,Spherical
16,roulette,3.0852535656818246e-07,Spherical
17,roulette,6.444130692618465e-05,Spherical
18,roulette,5.119721813580382e-06,Spherical
19,roulette,2.1269445622595237e-06,Spherical
20,roulette,3.028900394547116e-06,Spherical
21,roulette,7.299937405803474e-06,Spherical
22,roulette,2.716806655006119e-06,Spherical
23,roulette,8.564182183209346e-05,Spherical
24,roulette,2.335041280972021e-05,Spherical
25,roulette,2.3213129972201377e-05,Spherical
1,tournament,1.1119796412407294e-07,Spherical
2,tournament,3.2529101176241427e-09,Spherical
3,tournament,2.3237085080616315e-07,Spherical
4,tournament,2.0720154019959673e-07,Spherical
5,tournament,1.1873176764907185e-08,Spherical
6,tournament,1.4533104082640614e-07,Spherical
7,tournament,3.9888878390623466e-08,Spherical
8,tournament,2.271914424058016e-07,Spherical
9,tournament,2.979222336635377e-07,Spherical
10,tournament,9.218051735923741e-08,Spherical
11,tournament,1.1290939253627115e-07,Spherical
12,tournament,1.0470810381093808e-07,Spherical
13,tournament,4.83643770760401e-08,Spherical
14,tournament,1.1723809615656387e-08,Spherical
15,tournament,4.1146697348678205e-07,Spherical
16,tournament,4.6780354442636837e-07,Spherical
17,tournament,4.9055748874639596e-08,Spherical
18,tournament,1.6554901796021294e-08,Spherical
19,tournament,3.778405644838308e-07,Spherical
20,tournament,3.1209849495290443e-07,Spherical
21,tournament,6.070570028985687e-08,Spherical
22,tournament,1.908954817093381e-07,Spherical
23,tournament,3.158738865958058e-08,Spherical
24,tournament,1.8245878445445876e-08,Spherical
25,tournament,7.281825691709855e-07,Spherical
1,rank,0.000199967613596899,Spherical
2,rank,0.004436717409347302,Spherical
3,rank,0.0035919598665885466,Spherical
4,rank,0.00025289265497024655,Spherical
5,rank,0.0006061933328819018,Spherical
6,rank,0.0001895063227321215,Spherical
7,rank,0.00227717491508541,Spherical
8,rank,8.46718336265686e-05,Spherical
9,rank,8.770367877042494e-05,Spherical
10,rank,0.0005786783308705742,Spherical
11,rank,0.00021254669054072276,Spherical
12,rank,0.00013126856424519866,Spherical
13,rank,0.0009151486893394809,Spherical
14,rank,0.0010481051861923206,Spherical
15,rank,0.0028472777497400947,Spherical
16,rank,0.0013963020920942815,Spherical
17,rank,0.0012525289788397212,Spherical
18,rank,0.003222122538202685,Spherical
