Run,Strategy,Best Value,Benchmark
1,elitist,0.015280335447088067,Ackley
2,elitist,0.01303667473632375,Ackley
3,elitist,0.010289759849435587,Ackley
4,elitist,0.01994044544339646,Ackley
5,elitist,0.04902244236947739,Ackley
6,elitist,0.03281213996654886,Ackley
7,elitist,0.0028599883751856403,Ackley
8,elitist,0.005944359151609735,Ackley
9,elitist,0.020321255315206788,Ackley
10,elitist,0.00532430648912241,Ackley
11,elitist,0.010101687852398289,Ackley
12,elitist,0.006387548842319735,Ackley
13,elitist,0.004459884658694069,Ackley
14,elitist,0.006443104070502859,Ackley
15,elitist,0.010844319699746752,Ackley
16,elitist,0.030409953635274878,Ackley
17,elitist,0.010665134955094135,Ackley
18,elitist,0.03937546588914076,Ackley
19,elitist,0.010007712810172098,Ackley
20,elitist,0.0051123860777804175,Ackley
21,elitist,0.01668316710899065,Ackley
22,elitist,0.015303277415196437,Ackley
23,elitist,0.0014190657502486381,Ackley
24,elitist,0.004756352812702591,Ackley
25,elitist,0.00853466228434785,Ackley
26,elitist,0.002445656939436436,Ackley
27,elitist,0.013399504847936061,Ackley
28,elitist,0.002544941782357757,Ackley
29,elitist,0.00995209448001022,Ackley
30,elitist,0.003995430825736168,Ackley
1,simulated_annealing,0.0040122514232483475,Ackley
2,simulated_annealing,0.020100914478327514,Ackley
3,simulated_annealing,0.0031355288453309704,Ackley
4,simulated_annealing,0.015515581534515821,Ackley
5,simulated_annealing,0.010064939743732015,Ackley
6,simulated_annealing,0.009833605604374629,Ackley
7,simulated_annealing,0.01347857059329316,Ackley
8,simulated_annealing,0.02177844359039982,Ackley
9,simulated_annealing,0.00274573342094131,Ackley
10,simulated_annealing,0.0033181485834501423,Ackley
11,simulated_annealing,0.019412501750441624,Ackley
12,simulated_annealing,0.019363844924584317,Ackley
13,simulated_annealing,0.04531639604847415,Ackley
14,simulated_annealing,0.0035682630082871647,Ackley
15,simulated_annealing,0.007880107637852962,Ackley
16,simulated_annealing,0.02639514388698716,Ackley
17,simulated_annealing,0.013727866684853485,Ackley
18,simulated_annealing,0.006559308027011657,Ackley
19,simulated_annealing,0.040059887916097825,Ackley
20,simulated_annealing,0.0018211238399072904,Ackley
21,simulated_annealing,0.003411420784850794,Ackley
22,simulated_annealing,0.005842280837282221,Ackley
23,simulated_annealing,0.009042968359040504,Ackley
24,simulated_annealing,0.003962468041617928,Ackley
25,simulated_annealing,0.004724126020260844,Ackley
26,simulated_annealing,0.013312484918892142,Ackley
27,simulated_annealing,0.031159515053208242,Ackley
28,simulated_annealing,0.00958686674603415,Ackley
29,simulated_annealing,0.007487738472523819,Ackley
30,simulated_annealing,0.01197523505958431,Ackley
1,roulette,0.5374073895299003,Ackley
2,roulette,0.25460340881622345,Ackley
3,roulette,0.28369123071852487,Ackley
4,roulette,0.1429619366452788,Ackley
5,roulette,0.03174505320285492,Ackley
6,roulette,0.22335720161502737,Ackley
7,roulette,0.22992235134444217,Ackley
8,roulette,0.22354859270651106,Ackley
9,roulette,0.18392719493217102,Ackley
10,roulette,0.3021526276699338,Ackley
11,roulette,0.8215043656670251,Ackley
12,roulette,0.04156244176529755,Ackley
13,roulette,0.22842845047335603,Ackley
14,roulette,0.249060123475346,Ackley
15,roulette,0.22001504847345332,Ackley
16,roulette,0.4272679640234185,Ackley
17,roulette,0.39959802919676024,Ackley
18,roulette,0.3449389027717733,Ackley
19,roulette,0.11977764566097493,Ackley
20,roulette,0.2329855181451177,Ackley
21,roulette,0.09870994647470299,Ackley
22,roulette,1.086102480654454,Ackley
23,roulette,0.1651610092019209,Ackley
24,roulette,0.04445827779294875,Ackley
25,roulette,0.14584044825136333,Ackley
26,roulette,0.08094519076256335,Ackley
27,roulette,0.19971296282103568,Ackley
28,roulette,0.09147110357124122,Ackley
29,roulette,0.15594674546042997,Ackley
30,roulette,0.12319598931567954,Ackley
1,tournament,0.01973272915409341,Ackley
2,tournament,0.036097287538197964,Ackley
3,tournament,0.014184263529785301,Ackley
4,tournament,0.09442806187330222,Ackley
5,tournament,0.0803621148450131,Ackley
6,tournament,0.1093590479348383,Ackley
7,tournament,0.14857210931736775,Ackley
8,tournament,0.06687103040479458,Ackley
9,tournament,0.07980396434248194,Ackley
10,tournament,0.013321988912779137,Ackley
11,tournament,0.029593618604014882,Ackley
12,tournament,0.16786610300195592,Ackley
13,tournament,0.17643078662361988,Ackley
14,tournament,0.03667752412621583,Ackley
15,tournament,0.0243321573835229,Ackley
16,tournament,0.19838169853110132,Ackley
17,tournament,0.0548586408405467,Ackley
18,tournament,0.07751077746218771,Ackley
19,tournament,0.018400230641209436,Ackley
20,tournament,0.10621042719065388,Ackley
21,tournament,0.14882408914850886,Ackley
22,tournament,0.09896120194959268,Ackley
23,tournament,0.14498113816257474,Ackley
24,tournament,0.04185586306022815,Ackley
25,tournament,0.020788528997972566,Ackley
26,tournament,0.04155072221098566,Ackley
27,tournament,0.11909142987130084,Ackley
28,tournament,0.0922538632593981,Ackley
29,tournament,0.16328649750118673,Ackley
30,tournament,0.052557583484326376,Ackley
1,rank,3.123548424684199,Ackley
2,rank,1.402002147605487,Ackley
3,rank,1.4340778539347672,Ackley
4,rank,2.4108251598110297,Ackley
5,rank,1.474564914742818,Ackley
6,rank,2.5438855266167484,Ackley
7,rank,1.8893059145259383,Ackley
8,rank,0.25624653782318463,Ackley
9,rank,1.6332133921342664,Ackley
10,rank,2.2208935042856948,Ackley
11,rank,1.8659783155875087,Ackley
12,rank,0.7004010879524967,Ackley
13,rank,1.6595412770359919,Ackley
14,rank,0.8049195945901855,Ackley
15,rank,1.589813071668495,Ackley
16,rank,2.327603572105318,Ackley
17,rank,0.6818540421806074,Ackley
18,rank,3.2553331461836525,Ackley
19,rank,1.7198369769422652,Ackley
20,rank,2.5612423733983474,Ackley
21,rank,0.6584194252962807,Ackley
22,rank,0.18510656367629652,Ackley
23,rank,0.2603988688880041,Ackley
24,rank,2.0002111692084346,Ackley
25,rank,0.7808519944644527,Ackley
26,rank,0.8775277666812085,Ackley
27,rank,1.120032123916506,Ackley
28,rank,1.9075066754428218,Ackley
29,rank,1.0085451167384645,Ackley
30,rank,1.483418310071667,Ackley
