Run,Strategy,Best Value,Benchmark
1,elitist,6.089683726728661e-06,Booth
2,elitist,2.2933355828366625e-06,Booth
3,elitist,5.177868493879944e-07,Booth
4,elitist,3.6240711912753484e-07,Booth
5,elitist,8.974386845806428e-06,Booth
6,elitist,7.007146099824966e-06,Booth
7,elitist,1.9347598765361717e-06,Booth
8,elitist,1.5699294258241302e-05,Booth
9,elitist,1.7035783230177182e-05,Booth
10,elitist,1.1296021119572475e-06,Booth
11,elitist,2.5378071253856986e-06,Booth
12,elitist,2.1559081706138957e-05,Booth
13,elitist,3.141594098563621e-06,Booth
14,elitist,6.241537101257617e-06,Booth
15,elitist,6.576856749497288e-06,Booth
16,elitist,4.8221597918821535e-05,Booth
17,elitist,1.1629206024034688e-06,Booth
18,elitist,2.7219935743370737e-05,Booth
19,elitist,4.153162157725091e-06,Booth
20,elitist,4.355028783683242e-07,Booth
21,elitist,4.1334744270886723e-07,Booth
22,elitist,4.427543512820578e-06,Booth
23,elitist,6.808747938080698e-06,Booth
24,elitist,1.3050104057686743e-06,Booth
25,elitist,0.0001047336392296233,Booth
26,elitist,1.2116606423361595e-05,Booth
27,elitist,3.3296120394723666e-06,Booth
28,elitist,2.174724370507619e-05,Booth
29,elitist,2.5795510519340446e-07,Booth
30,elitist,1.3716207935990606e-05,Booth
1,simulated_annealing,2.6325923721150758e-08,Booth
2,simulated_annealing,1.5044173466915996e-06,Booth
3,simulated_annealing,6.034365633010916e-07,Booth
4,simulated_annealing,2.6258539708111376e-06,Booth
5,simulated_annealing,5.128670955043636e-07,Booth
6,simulated_annealing,8.838204994101613e-05,Booth
7,simulated_annealing,1.2918429837685103e-06,Booth
8,simulated_annealing,7.20893414619361e-06,Booth
9,simulated_annealing,2.1350040730818573e-05,Booth
10,simulated_annealing,2.9026788519251897e-05,Booth
11,simulated_annealing,3.054254035982768e-05,Booth
12,simulated_annealing,4.1332014482043186e-05,Booth
13,simulated_annealing,5.00060630889962e-07,Booth
14,simulated_annealing,1.8198254086835278e-06,Booth
15,simulated_annealing,1.0052527879241232e-05,Booth
16,simulated_annealing,4.7623105742353866e-05,Booth
17,simulated_annealing,1.5214188901436444e-06,Booth
18,simulated_annealing,3.3039788976508415e-06,Booth
19,simulated_annealing,5.558465400500162e-06,Booth
20,simulated_annealing,4.209546060280831e-07,Booth
21,simulated_annealing,2.5258474177206396e-07,Booth
22,simulated_annealing,1.296544229132663e-05,Booth
23,simulated_annealing,4.108792055119137e-05,Booth
24,simulated_annealing,5.554029250020594e-06,Booth
25,simulated_annealing,5.125735453155027e-07,Booth
26,simulated_annealing,6.5007243353374056e-06,Booth
27,simulated_annealing,9.963147549631184e-07,Booth
28,simulated_annealing,1.7883658638656506e-06,Booth
29,simulated_annealing,2.2598715987833313e-06,Booth
30,simulated_annealing,4.052510679380802e-05,Booth
1,roulette,0.013384649162500662,Booth
2,roulette,0.004895954627797078,Booth
3,roulette,0.0015129291067056134,Booth
4,roulette,0.002171953572541326,Booth
5,roulette,0.0005902033747763242,Booth
6,roulette,0.02671520028867691,Booth
7,roulette,0.008286206628939493,Booth
8,roulette,0.0024631164072723834,Booth
