Run,Strategy,Best Value,Benchmark
1,elitist,-1.8420695137618452,Michalewicz
2,elitist,-1.7831067168751993,Michalewicz
3,elitist,-1.9864382420278095,Michalewicz
4,elitist,-1.8213448184874177,Michalewicz
5,elitist,-1.9852527664308108,Michalewicz
6,elitist,-1.9864881999001098,Michalewicz
7,elitist,-1.9864983067295785,Michalewicz
8,elitist,-1.9866204415945197,Michalewicz
9,elitist,-1.8421160089165658,Michalewicz
10,elitist,-1.9423322034422865,Michalewicz
11,elitist,-1.837911487097642,Michalewicz
12,elitist,-1.9867692590520352,Michalewicz
13,elitist,-1.9231669170282866,Michalewicz
14,elitist,-1.9869899221481337,Michalewicz
15,elitist,-1.8419689567774764,Michalewicz
16,elitist,-1.9753694617700583,Michalewicz
17,elitist,-1.9423919750895065,Michalewicz
18,elitist,-1.927735528269277,Michalewicz
19,elitist,-1.9835903764965166,Michalewicz
20,elitist,-1.9277285082861084,Michalewicz
21,elitist,-1.9862681300846559,Michalewicz
22,elitist,-1.8417249836920124,Michalewicz
23,elitist,-1.9805282156324195,Michalewicz
24,elitist,-1.8421369195123907,Michalewicz
25,elitist,-1.84215734732786,Michalewicz
26,elitist,-1.986936032457783,Michalewicz
27,elitist,-1.9401470217708336,Michalewicz
28,elitist,-1.9868677794227643,Michalewicz
29,elitist,-1.9869104628994534,Michalewicz
30,elitist,-1.9275220795189876,Michalewicz
1,simulated_annealing,-1.9231413107543012,Michalewicz
2,simulated_annealing,-1.9866683274867452,Michalewicz
3,simulated_annealing,-1.9210422667467895,Michalewicz
4,simulated_annealing,-1.9642017279602566,Michalewicz
5,simulated_annealing,-1.8112477547373298,Michalewicz
6,simulated_annealing,-1.9278080568333182,Michalewicz
7,simulated_annealing,-1.9423488621362823,Michalewicz
8,simulated_annealing,-1.8389356996832618,Michalewicz
9,simulated_annealing,-1.9534096512916226,Michalewicz
10,simulated_annealing,-1.96522402066033,Michalewicz
11,simulated_annealing,-1.8413556550734613,Michalewicz
12,simulated_annealing,-1.7803067736714393,Michalewicz
13,simulated_annealing,-1.9869749026502757,Michalewicz
14,simulated_annealing,-1.9423582718270662,Michalewicz
15,simulated_annealing,-1.8960086075824387,Michalewicz
16,simulated_annealing,-1.986976306365937,Michalewicz
17,simulated_annealing,-1.9805967357233052,Michalewicz
18,simulated_annealing,-1.9868288883386669,Michalewicz
19,simulated_annealing,-1.7391122715243983,Michalewicz
20,simulated_annealing,-1.9869949977945318,Michalewicz
21,simulated_annealing,-1.842014095814827,Michalewicz
22,simulated_annealing,-1.6377386003892824,Michalewicz
23,simulated_annealing,-1.9869029677621457,Michalewicz
24,simulated_annealing,-1.9277348076604213,Michalewicz
25,simulated_annealing,-1.9869478114209072,Michalewicz
26,simulated_annealing,-1.8264643402381417,Michalewicz
27,simulated_annealing,-1.8920127597834682,Michalewicz
28,simulated_annealing,-1.973246985757978,Michalewicz
29,simulated_annealing,-1.8016387883838805,Michalewicz
30,simulated_annealing,-1.9640035554714612,Michalewicz
1,roulette,-1.829572092935049,Michalewicz
2,roulette,-1.6973644990339654,Michalewicz
3,roulette,-1.9529705342244092,Michalewicz
4,roulette,-1.8269271753873415,Michalewicz
5,roulette,-1.7588725233022773,Michalewicz
6,roulette,-1.8264943412648025,Michalewicz
7,roulette,-1.775731886961013,Michalewicz
8,roulette,-1.8811029897054736,Michalewicz
9,roulette,-1.8699268887706104,Michalewicz
10,roulette,-1.7620906118456758,Michalewicz
11,roulette,-1.9742625446098172,Michalewicz
12,roulette,-1.839933368869358,Michalewicz
13,roulette,-1.6150721354173792,Michalewicz
14,roulette,-1.835136642599295,Michalewicz
15,roulette,-1.9157766495031567,Michalewicz
16,roulette,-1.9207033068796653,Michalewicz
17,roulette,-1.7768628514984184,Michalewicz
18,roulette,-1.920952137547304,Michalewicz
19,roulette,-1.9641427392847564,Michalewicz
20,roulette,-1.816986264145937,Michalewicz
21,roulette,-1.7864586221910355,Michalewicz
22,roulette,-1.8544179202257136,Michalewicz
23,roulette,-1.8731666396127027,Michalewicz
24,roulette,-1.6514474194691264,Michalewicz
25,roulette,-1.839842366302828,Michalewicz
26,roulette,-1.7878063001193678,Michalewicz
27,roulette,-1.8145846033667468,Michalewicz
28,roulette,-1.7775437534318232,Michalewicz
29,roulette,-1.5455054998087818,Michalewicz
30,roulette,-1.7977657222573455,Michalewicz
1,tournament,-1.8392152591143995,Michalewicz
2,tournament,-1.8371611156748386,Michalewicz
3,tournament,-1.932421864173219,Michalewicz
