Run,Strategy,Best Value,Benchmark
1,elitist,2.0741789376036924e-05,Spherical
2,elitist,8.017622732022413e-05,Spherical
3,elitist,4.430483716753267e-05,Spherical
4,elitist,5.065071941411797e-05,Spherical
5,elitist,6.916167718681004e-06,Spherical
6,elitist,0.0005481702413455832,Spherical
7,elitist,6.01781946163791e-05,Spherical
8,elitist,0.00034390263758733583,Spherical
9,elitist,7.12169413817406e-05,Spherical
10,elitist,1.371114790090863e-05,Spherical
11,elitist,0.0009130274792074101,Spherical
12,elitist,1.5935093015260674e-05,Spherical
13,elitist,2.8275745758779203e-05,Spherical
14,elitist,0.0017013912291474309,Spherical
15,elitist,9.625087842701927e-05,Spherical
16,elitist,0.0003168899298804369,Spherical
17,elitist,0.00036960654975564956,Spherical
18,elitist,8.649698329186532e-06,Spherical
19,elitist,0.0008629369339550724,Spherical
20,elitist,0.00012829124206896518,Spherical
21,elitist,0.0005906900589533425,Spherical
22,elitist,3.219893608140298e-05,Spherical
23,elitist,0.00024713438821727304,Spherical
24,elitist,7.28234278109961e-05,Spherical
25,elitist,1.0449671595105684e-05,Spherical
26,elitist,4.292945413375009e-05,Spherical
27,elitist,2.8824374915183434e-06,Spherical
28,elitist,0.00010373224110169434,Spherical
29,elitist,5.0513502329118374e-05,Spherical
30,elitist,0.00017521590652744208,Spherical
1,simulated_annealing,0.00033929699626261445,Spherical
2,simulated_annealing,0.0005979840470810352,Spherical
3,simulated_annealing,5.841096400997442e-05,Spherical
4,simulated_annealing,0.00020885406089052905,Spherical
5,simulated_annealing,0.00010670923888661165,Spherical
6,simulated_annealing,0.000483797182483812,Spherical
7,simulated_annealing,1.603928581522896e-05,Spherical
8,simulated_annealing,0.00012334729687577358,Spherical
9,simulated_annealing,1.5834008149151694e-05,Spherical
10,simulated_annealing,0.00032417043224580006,Spherical
11,simulated_annealing,0.00015542150097868428,Spherical
12,simulated_annealing,4.485637999891292e-05,Spherical
13,simulated_annealing,1.5694317839155666e-05,Spherical
14,simulated_annealing,0.00021225244962979072,Spherical
15,simulated_annealing,0.0009163154362195492,Spherical
16,simulated_annealing,1.5920263641750155e-05,Spherical
17,simulated_annealing,0.0005007085514006339,Spherical
18,simulated_annealing,0.0027750044851330103,Spherical
19,simulated_annealing,2.203047124612541e-05,Spherical
20,simulated_annealing,0.0001540679239102831,Spherical
21,simulated_annealing,3.503810676249659e-05,Spherical
22,simulated_annealing,0.00028592552199057313,Spherical
23,simulated_annealing,0.00018133752361718808,Spherical
24,simulated_annealing,0.0001657401912472887,Spherical
25,simulated_annealing,0.00013528590712265018,Spherical
26,simulated_annealing,0.0007417566269931235,Spherical
27,simulated_annealing,0.00015833435047748573,Spherical
28,simulated_annealing,0.0005017592409072094,Spherical
29,simulated_annealing,3.632501047446548e-05,Spherical
30,simulated_annealing,0.00019598557847161493,Spherical
1,roulette,0.014647731738285466,Spherical
2,roulette,0.02188664373959049,Spherical
3,roulette,0.00800278318269419,Spherical
4,roulette,0.0025557525379983222,Spherical
5,roulette,0.016708723247679136,Spherical
6,roulette,0.13923238861302623,Spherical
7,roulette,0.0005363529434224356,Spherical
8,roulette,0.03562579830919564,Spherical
9,roulette,0.128652773359213,Spherical
10,roulette,0.01104639649802262,Spherical
11,roulette,0.021158455030202354,Spherical
12,roulette,0.04746934395146001,Spherical
13,roulette,0.055782632025228596,Spherical
14,roulette,0.0040888685971685185,Spherical
15,roulette,0.021902419072956366,Spherical
16,roulette,0.0026832951486673523,Spherical
17,roulette,0.029842981088594595,Spherical
18,roulette,0.0032861492072701745,Spherical
19,roulette,0.03336337735611165,Spherical
20,roulette,0.016346340999507495,Spherical
21,roulette,0.004978099128685517,Spherical
22,roulette,0.05828951311879116,Spherical
23,roulette,0.004199023595993084,Spherical
24,roulette,0.05833956268427892,Spherical
25,roulette,0.10733085524907815,Spherical
26,roulette,0.09045206085048592,Spherical
27,roulette,0.02088606942428589,Spherical
28,roulette,0.2089922529048161,Spherical
29,roulette,0.00564337927962835,Spherical
30,roulette,0.27094604104972886,Spherical
1,tournament,0.0010638880670700433,Spherical
2,tournament,0.010173139601489786,Spherical
3,tournament,0.0033065997311548306,Spherical
4,tournament,0.0013787394158682354,Spherical
5,tournament,0.0012149160302499023,Spherical
6,tournament,0.017553499792154467,Spherical
7,tournament,0.008885308841637529,Spherical
8,tournament,5.3901033309896844e-05,Spherical
9,tournament,0.003550668139396792,Spherical
10,tournament,0.00022197001772274297,Spherical
11,tournament,0.0014335673437891445,Spherical
12,tournament,0.026042460284746757,Spherical
13,tournament,0.006445297938569224,Spherical
14,tournament,0.005089267353842419,Spherical
15,tournament,0.007863805535289028,Spherical
16,tournament,0.004185920150965274,Spherical
17,tournament,0.0026536076311620355,Spherical
18,tournament,0.0008025443227745409,Spherical
19,tournament,0.013860504376212451,Spherical
20,tournament,0.024505247144893376,Spherical
21,tournament,0.006924463108684338,Spherical
22,tournament,0.005549095187065533,Spherical
23,tournament,0.0071503271278725924,Spherical
24,tournament,0.00010457087226476726,Spherical
25,tournament,0.004432521771511999,Spherical
26,tournament,0.0038352388236299988,Spherical
27,tournament,0.024326974366086877,Spherical
28,tournament,0.002154293740304471,Spherical
29,tournament,0.0005163796953979185,Spherical
30,tournament,0.011854624363781267,Spherical
1,rank,0.22547565158494187,Spherical
2,rank,2.4582114141794666,Spherical
3,rank,0.9454154699945411,Spherical
4,rank,0.14966713633918388,Spherical
5,rank,0.08933100757562479,Spherical
6,rank,0.25056137643740856,Spherical
7,rank,0.41885930370465385,Spherical
8,rank,0.11842630396733908,Spherical
9,rank,0.032055546227619344,Spherical
10,rank,0.06859079840473957,Spherical
11,rank,1.006781233608603,Spherical
12,rank,0.10605562662363248,Spherical
13,rank,0.003747072406598755,Spherical
14,rank,0.20471050511536776,Spherical
15,rank,0.027592226659314562,Spherical
16,rank,0.10609109740878389,Spherical
17,rank,0.15174735865453243,Spherical
18,rank,0.43116368874624483,Spherical
19,rank,0.7066801290514406,Spherical
20,rank,0.04002388499303487,Spherical
21,rank,0.07352420208588563,Spherical
22,rank,0.019775844634031484,Spherical
23,rank,0.09957690025508678,Spherical
24,rank,0.3814962272294596,Spherical
25,rank,2.09927120152048,Spherical
26,rank,0.02513021364171845,Spherical
27,rank,0.5391240167229481,Spherical
28,rank,0.08899232223001947,Spherical
29,rank,0.08607171926444429,Spherical
30,rank,0.395388789198634,Spherical
