Run,Strategy,Best Value,Benchmark
1,elitist,0.0035056302300451314,Ackley
2,elitist,0.06513272729646191,Ackley
3,elitist,0.0034864687909785808,Ackley
4,elitist,0.0058025920762045935,Ackley
5,elitist,0.0012752163717100196,Ackley
6,elitist,0.004116053340926573,Ackley
7,elitist,0.025953575550769603,Ackley
8,elitist,0.0037242314470664617,Ackley
9,elitist,0.006124792551542857,Ackley
10,elitist,0.007651438817540157,Ackley
11,elitist,0.014524906514548963,Ackley
12,elitist,0.0013308278249408723,Ackley
13,elitist,0.0032531321231705768,Ackley
14,elitist,0.01733527297413362,Ackley
15,elitist,0.008692345656630796,Ackley
16,elitist,0.028839243686054505,Ackley
17,elitist,0.010093948236889805,Ackley
18,elitist,0.024325899930396577,Ackley
19,elitist,0.004894099879252156,Ackley
20,elitist,0.0061754099178483735,Ackley
21,elitist,0.010929406701923217,Ackley
22,elitist,0.0031360109380718093,Ackley
23,elitist,0.005090402821022355,Ackley
24,elitist,0.0033887534792751417,Ackley
25,elitist,0.01050410125754242,Ackley
26,elitist,0.008990710710950811,Ackley
27,elitist,0.029863182633868224,Ackley
28,elitist,0.005570723379904496,Ackley
29,elitist,0.005197341463788252,Ackley
30,elitist,0.018147032438641464,Ackley
1,simulated_annealing,0.0025020343149937396,Ackley
2,simulated_annealing,0.004387356804681719,Ackley
3,simulated_annealing,0.0068666847931031505,Ackley
4,simulated_annealing,0.017063753846305207,Ackley
5,simulated_annealing,0.015252116339628419,Ackley
6,simulated_annealing,0.011560381807381948,Ackley
7,simulated_annealing,0.005074616637767537,Ackley
8,simulated_annealing,0.009681294587004619,Ackley
9,simulated_annealing,0.010804745438417473,Ackley
10,simulated_annealing,0.003873850203359286,Ackley
11,simulated_annealing,0.0035035293007976698,Ackley
12,simulated_annealing,0.023325697744465135,Ackley
13,simulated_annealing,0.009304658816962519,Ackley
14,simulated_annealing,0.004421440267489363,Ackley
15,simulated_annealing,0.004959891774259706,Ackley
16,simulated_annealing,0.029167527407992555,Ackley
17,simulated_annealing,0.00849363418793958,Ackley
18,simulated_annealing,0.0037644996287693466,Ackley
19,simulated_annealing,0.005071324306208158,Ackley
20,simulated_annealing,0.022414129029116214,Ackley
21,simulated_annealing,0.007006397403263254,Ackley
22,simulated_annealing,0.007726206656454071,Ackley
23,simulated_annealing,0.005202847860222182,Ackley
24,simulated_annealing,0.0039491989206656974,Ackley
25,simulated_annealing,0.013870535942075879,Ackley
26,simulated_annealing,0.004127713569087366,Ackley
27,simulated_annealing,0.0017656112271997593,Ackley
28,simulated_annealing,0.02341157036660535,Ackley
29,simulated_annealing,0.01185644367913996,Ackley
30,simulated_annealing,0.008987015280187638,Ackley
1,roulette,0.3062488701610957,Ackley
2,roulette,0.043335571713492005,Ackley
3,roulette,0.16820320377068443,Ackley
4,roulette,0.8488332061075288,Ackley
5,roulette,0.11745551311365476,Ackley
6,roulette,0.17981969736133552,Ackley
7,roulette,0.1324422484624468,Ackley
8,roulette,0.3272469704994738,Ackley
9,roulette,0.22632281831887768,Ackley
10,roulette,0.08169663580456943,Ackley
11,roulette,0.3368069506225706,Ackley
12,roulette,0.0843280528074648,Ackley
13,roulette,0.9543568176417492,Ackley
14,roulette,0.19612154482208455,Ackley
15,roulette,0.42578002032023265,Ackley
16,roulette,1.2764780213726046,Ackley
17,roulette,0.02922753458400651,Ackley
18,roulette,0.41192589162126625,Ackley
19,roulette,0.2872145483995898,Ackley
20,roulette,0.24588788379930948,Ackley
21,roulette,0.010933935808193684,Ackley
22,roulette,0.04211525431970431,Ackley
23,roulette,0.13356862316223017,Ackley
24,roulette,0.23262807306391098,Ackley
25,roulette,0.5439064977583006,Ackley
26,roulette,0.4011808291949639,Ackley
27,roulette,0.4537400788351964,Ackley
28,roulette,0.15931615667289778,Ackley
29,roulette,0.434770670082099,Ackley
30,roulette,0.5484279023186507,Ackley
1,tournament,0.011361542057028107,Ackley
2,tournament,0.06543112626668135,Ackley
3,tournament,0.12345108267271998,Ackley
4,tournament,0.19685321720446725,Ackley
5,tournament,0.06676172660359514,Ackley
6,tournament,0.22986398238783012,Ackley
7,tournament,0.05617208698379672,Ackley
8,tournament,0.07036369616751204,Ackley
9,tournament,0.14627676124393618,Ackley
10,tournament,0.32224046054728506,Ackley
11,tournament,0.039871258590583825,Ackley
12,tournament,0.06897787832224056,Ackley
13,tournament,0.08704087847013442,Ackley
14,tournament,0.060319411429102576,Ackley
15,tournament,0.13765219709273113,Ackley
16,tournament,0.1604651059807698,Ackley
17,tournament,0.07674214119545697,Ackley
18,tournament,0.04910515916901703,Ackley
19,tournament,0.18727562637104045,Ackley
20,tournament,0.08460636353354944,Ackley
21,tournament,0.02774348982089636,Ackley
22,tournament,0.2769925960621369,Ackley
23,tournament,0.08699664251865658,Ackley
24,tournament,0.178901185323181,Ackley
25,tournament,0.045610864864233935,Ackley
26,tournament,0.0656690444867043,Ackley
27,tournament,0.17430060604719744,Ackley
28,tournament,0.0844793204870844,Ackley
29,tournament,0.22107900547507997,Ackley
