Run,Strategy,Best Value,Benchmark
1,elitist,1.566401927777396e-06,Booth
2,elitist,3.268506477850948e-05,Booth
3,elitist,2.843178403771691e-05,Booth
4,elitist,1.2112957612443948e-06,Booth
5,elitist,2.0488877082544523e-05,Booth
6,elitist,2.7528478486560386e-05,Booth
7,elitist,4.579269541725494e-06,Booth
8,elitist,3.091251256449775e-06,Booth
9,elitist,7.962501067155596e-06,Booth
10,elitist,1.4724719279128595e-05,Booth
11,elitist,1.7328469375638032e-06,Booth
12,elitist,2.2009455318474485e-05,Booth
13,elitist,1.0663057874202806e-06,Booth
14,elitist,3.1966263172273304e-07,Booth
15,elitist,4.37037127008945e-06,Booth
16,elitist,9.796927357853097e-05,Booth
17,elitist,4.8468811140449436e-05,Booth
18,elitist,3.328233079845765e-08,Booth
19,elitist,4.6628831701520155e-07,Booth
20,elitist,7.950856557475143e-06,Booth
21,elitist,2.2909231558303097e-05,Booth
22,elitist,8.057010707362144e-06,Booth
23,elitist,1.2393332653612323e-05,Booth
24,elitist,2.02498523519108e-06,Booth
25,elitist,1.2923221389151345e-05,Booth
26,elitist,2.1530430654383974e-06,Booth
27,elitist,6.770159349393333e-06,Booth
28,elitist,2.915768947987778e-07,Booth
29,elitist,1.642378431513043e-05,Booth
30,elitist,4.208952997172313e-06,Booth
1,simulated_annealing,2.202034202339963e-06,Booth
2,simulated_annealing,4.6434443018565764e-06,Booth
3,simulated_annealing,3.4365139413134633e-06,Booth
4,simulated_annealing,2.9658546032545643e-06,Booth
5,simulated_annealing,0.00011495890826116763,Booth
6,simulated_annealing,6.416244630035387e-07,Booth
7,simulated_annealing,7.882343303390925e-06,Booth
8,simulated_annealing,7.717080473431462e-06,Booth
9,simulated_annealing,4.85512246794251e-06,Booth
10,simulated_annealing,6.257575324908701e-07,Booth
11,simulated_annealing,3.3780087390834973e-06,Booth
12,simulated_annealing,2.7102376732720915e-05,Booth
13,simulated_annealing,2.1543374762876392e-05,Booth
14,simulated_annealing,1.950674264416198e-05,Booth
15,simulated_annealing,1.3311382044439197e-05,Booth
16,simulated_annealing,1.2309118637804364e-05,Booth
