Run,Strategy,Best Value,Benchmark
1,elitist,-1.9420451347205827,Michalewicz
2,elitist,-1.926373847647135,Michalewicz
3,elitist,-1.8422735405064632,Michalewicz
4,elitist,-1.8501875088102786,Michalewicz
5,elitist,-1.9271521511071616,Michalewicz
6,elitist,-1.9868584897457509,Michalewicz
7,elitist,-1.9267257372983004,Michalewicz
8,elitist,-1.9422611512670154,Michalewicz
9,elitist,-1.855372608830831,Michalewicz
10,elitist,-1.982770234576655,Michalewicz
11,elitist,-1.986969264525683,Michalewicz
12,elitist,-1.9869454408761438,Michalewicz
13,elitist,-1.842209187800293,Michalewicz
14,elitist,-1.9718632742087068,Michalewicz
15,elitist,-1.8414703221865367,Michalewicz
16,elitist,-1.8422490695020537,Michalewicz
17,elitist,-1.986595439470856,Michalewicz
18,elitist,-1.955583473761672,Michalewicz
19,elitist,-1.8404881506273303,Michalewicz
20,elitist,-1.842287182457481,Michalewicz
21,elitist,-1.9869933304808942,Michalewicz
22,elitist,-1.9861505012973972,Michalewicz
23,elitist,-1.9869734304611104,Michalewicz
24,elitist,-1.9751808450805888,Michalewicz
25,elitist,-1.9866953896934718,Michalewicz
26,elitist,-1.9863691685378095,Michalewicz
27,elitist,-1.7831114305106535,Michalewicz
28,elitist,-1.8420935691744078,Michalewicz
29,elitist,-1.986706238311358,Michalewicz
30,elitist,-1.8384982816608615,Michalewicz
1,simulated_annealing,-1.7857560212500725,Michalewicz
2,simulated_annealing,-1.937301675086713,Michalewicz
3,simulated_annealing,-1.824669923194403,Michalewicz
4,simulated_annealing,-1.976698364036534,Michalewicz
5,simulated_annealing,-1.9514200896145457,Michalewicz
6,simulated_annealing,-1.9848136373739522,Michalewicz
7,simulated_annealing,-1.986994076631576,Michalewicz
8,simulated_annealing,-1.941817782176933,Michalewicz
9,simulated_annealing,-1.9869276977980403,Michalewicz
10,simulated_annealing,-1.9640253502204987,Michalewicz
11,simulated_annealing,-1.7846188760199593,Michalewicz
12,simulated_annealing,-1.7962364067393919,Michalewicz
13,simulated_annealing,-1.9231914904422085,Michalewicz
14,simulated_annealing,-1.9863201742134207,Michalewicz
15,simulated_annealing,-1.9277560631943729,Michalewicz
16,simulated_annealing,-1.9278181483004255,Michalewicz
17,simulated_annealing,-1.8422752171554386,Michalewicz
18,simulated_annealing,-1.9833456311091773,Michalewicz
19,simulated_annealing,-1.986959958542415,Michalewicz
20,simulated_annealing,-1.985778478914548,Michalewicz
21,simulated_annealing,-1.7976078392355044,Michalewicz
22,simulated_annealing,-1.976641466036673,Michalewicz
23,simulated_annealing,-1.9869838949165404,Michalewicz
24,simulated_annealing,-1.9276537537711256,Michalewicz
25,simulated_annealing,-1.7966425101042045,Michalewicz
26,simulated_annealing,-1.9829120885178557,Michalewicz
27,simulated_annealing,-1.9278049184485022,Michalewicz
28,simulated_annealing,-1.933019072951497,Michalewicz
29,simulated_annealing,-1.9375172457770742,Michalewicz
30,simulated_annealing,-1.9278177264465781,Michalewicz
1,roulette,-1.7575489829034954,Michalewicz
2,roulette,-1.8988931048420572,Michalewicz
3,roulette,-1.8075987681740195,Michalewicz
4,roulette,-1.6900198440539125,Michalewicz
5,roulette,-1.9345038944755646,Michalewicz
6,roulette,-1.7979174354439231,Michalewicz
7,roulette,-1.917528834748442,Michalewicz
8,roulette,-1.5223135232315346,Michalewicz
9,roulette,-1.9250355265346952,Michalewicz
10,roulette,-1.8717235668709034,Michalewicz
11,roulette,-1.7309784941117101,Michalewicz
12,roulette,-1.7715105619734726,Michalewicz
13,roulette,-1.9766449783710813,Michalewicz
14,roulette,-1.9799317856945207,Michalewicz
15,roulette,-1.87529742261095,Michalewicz
16,roulette,-1.8089892170148212,Michalewicz
17,roulette,-1.9128086809666405,Michalewicz
18,roulette,-1.8780058878899646,Michalewicz
19,roulette,-1.9126343150263065,Michalewicz
20,roulette,-1.7608939797377934,Michalewicz
