Run,Strategy,Best Value,Benchmark
1,elitist,5.083214014393123e-05,Spherical
2,elitist,0.0004631357473466434,Spherical
3,elitist,1.4505880859582511e-06,Spherical
4,elitist,8.79967577711023e-06,Spherical
5,elitist,0.0001254416033581157,Spherical
6,elitist,0.00016580193530344215,Spherical
7,elitist,1.114725889859263e-05,Spherical
8,elitist,1.1375087340126919e-05,Spherical
9,elitist,0.0001320305178639766,Spherical
10,elitist,0.0003136536754480621,Spherical
11,elitist,1.4112396944462578e-06,Spherical
12,elitist,0.00013824418271414892,Spherical
13,elitist,0.00012254306862782746,Spherical
14,elitist,5.584258684957067e-05,Spherical
15,elitist,0.0020966930291259488,Spherical
16,elitist,2.68771242776801e-05,Spherical
17,elitist,0.00015676942268043985,Spherical
18,elitist,1.251867892481953e-05,Spherical
19,elitist,0.00010931546181149797,Spherical
20,elitist,0.0004939619533874663,Spherical
21,elitist,9.993661983596817e-05,Spherical
22,elitist,7.586917451000419e-05,Spherical
23,elitist,0.00012818920751940288,Spherical
24,elitist,0.00010823190326728298,Spherical
25,elitist,3.680644452295054e-05,Spherical
26,elitist,3.855669342554171e-06,Spherical
27,elitist,6.492713061073268e-05,Spherical
28,elitist,8.550054663060719e-06,Spherical
29,elitist,4.5692626796909067e-07,Spherical
30,elitist,2.315284945022735e-05,Spherical
1,simulated_annealing,0.0009013400799901571,Spherical
2,simulated_annealing,4.844325609789978e-05,Spherical
3,simulated_annealing,1.9138323435105194e-05,Spherical
4,simulated_annealing,2.5417852438744745e-05,Spherical
5,simulated_annealing,1.6202140830430852e-05,Spherical
6,simulated_annealing,0.0001253097927804116,Spherical
7,simulated_annealing,7.141094952854966e-05,Spherical
8,simulated_annealing,2.2226259145095845e-05,Spherical
9,simulated_annealing,0.00017772512681219163,Spherical
10,simulated_annealing,0.00010008486982753757,Spherical
11,simulated_annealing,0.00014875545979397574,Spherical
12,simulated_annealing,6.1791731850793345e-06,Spherical
13,simulated_annealing,7.780141104068754e-06,Spherical
14,simulated_annealing,0.0009450239808111778,Spherical
15,simulated_annealing,0.0009575348585609642,Spherical
16,simulated_annealing,0.0006334755559136286,Spherical
17,simulated_annealing,0.0005005212765299112,Spherical
18,simulated_annealing,0.0017646277724783365,Spherical
19,simulated_annealing,8.966323148005764e-05,Spherical
20,simulated_annealing,0.00044044473997987925,Spherical
21,simulated_annealing,3.0572820785690416e-05,Spherical
22,simulated_annealing,0.00020144188534400247,Spherical
23,simulated_annealing,0.00014888007417098484,Spherical
24,simulated_annealing,0.00036370097324003273,Spherical
25,simulated_annealing,4.572320006578113e-05,Spherical
26,simulated_annealing,0.00028249109813776495,Spherical
27,simulated_annealing,3.7360559544973826e-05,Spherical
28,simulated_annealing,0.00013131853297512967,Spherical
29,simulated_annealing,0.00014792953060842963,Spherical
30,simulated_annealing,2.0894440732673224e-05,Spherical
1,roulette,0.0281525199493103,Spherical
2,roulette,0.04010341260395863,Spherical
3,roulette,0.1703135347434684,Spherical
4,roulette,0.03327823132327333,Spherical
5,roulette,0.2237412711868825,Spherical
6,roulette,0.059369745925490186,Spherical
7,roulette,0.02237442529180936,Spherical
8,roulette,0.11241468675431941,Spherical
9,roulette,0.1757165750069352,Spherical
10,roulette,0.22993248911622255,Spherical
11,roulette,0.015813574255826048,Spherical
12,roulette,0.15763414824419775,Spherical
13,roulette,0.11760902491938374,Spherical
14,roulette,0.04362536223858545,Spherical
15,roulette,0.013512438442085557,Spherical
16,roulette,0.018551790570699476,Spherical
17,roulette,0.005833288647202747,Spherical
18,roulette,0.003106543174902616,Spherical
19,roulette,0.04671575455935242,Spherical
20,roulette,0.21195588541925453,Spherical
21,roulette,0.02277735699427657,Spherical
22,roulette,0.016282145810916852,Spherical
23,roulette,0.09311741911535339,Spherical
24,roulette,0.056279435327143176,Spherical
25,roulette,0.03655521492340484,Spherical
26,roulette,0.021164386752475756,Spherical
27,roulette,0.12644535094372103,Spherical
28,roulette,0.03120881318737354,Spherical
29,roulette,0.04944415133623256,Spherical
30,roulette,0.0011149013870165629,Spherical
1,tournament,0.002379461201764537,Spherical
2,tournament,0.005600796544354811,Spherical
3,tournament,0.0009919964612189274,Spherical
4,tournament,0.00048566196849064247,Spherical
5,tournament,0.026656708049784768,Spherical
6,tournament,0.0011489197595169393,Spherical
7,tournament,0.0037570430535684954,Spherical
8,tournament,0.0029727178346852234,Spherical
9,tournament,0.010237852825411373,Spherical
10,tournament,0.007161048230168728,Spherical
11,tournament,0.021372543949804885,Spherical
12,tournament,0.010078876112492176,Spherical
13,tournament,0.00863971030578016,Spherical
14,tournament,0.022447841377129123,Spherical
15,tournament,0.000412968074936418,Spherical
16,tournament,0.0014357047979117587,Spherical
17,tournament,0.014297921099989962,Spherical
18,tournament,0.002690616414776886,Spherical
19,tournament,0.010742967567923273,Spherical
20,tournament,0.004026616109905494,Spherical
21,tournament,0.016660989331867593,Spherical
22,tournament,0.020233444886959426,Spherical
23,tournament,0.0006933987430016991,Spherical
24,tournament,0.010027880513398804,Spherical
25,tournament,2.5643691877161194e-06,Spherical
26,tournament,0.0008706667795437884,Spherical
27,tournament,0.004304406085096139,Spherical
28,tournament,0.017550724706836784,Spherical
29,tournament,0.006981610522009275,Spherical
30,tournament,0.05663550283236761,Spherical
1,rank,1.1367621320516057,Spherical
2,rank,0.8170204832892635,Spherical
3,rank,0.142707159942328,Spherical
4,rank,0.2912068874346663,Spherical
5,rank,0.4247522834274506,Spherical
6,rank,0.1297651017909967,Spherical
7,rank,1.8906212982605415,Spherical
8,rank,0.5587164680901912,Spherical
9,rank,0.2119015678287085,Spherical
10,rank,1.1287591888961335,Spherical
11,rank,0.979005487963141,Spherical
12,rank,2.5775760701508434,Spherical
13,rank,0.01495418089689603,Spherical
14,rank,0.3039748585943145,Spherical
15,rank,0.21207994983605122,Spherical
16,rank,0.4366766153903855,Spherical
17,rank,0.21961826750098992,Spherical
18,rank,1.0603666451238885,Spherical
19,rank,1.0494215594871528,Spherical
20,rank,0.0960763974674885,Spherical
21,rank,0.509441786491071,Spherical
22,rank,0.43475050095796575,Spherical
23,rank,0.4027618261271214,Spherical
24,rank,0.21607744885191227,Spherical
25,rank,0.2693967504891274,Spherical
26,rank,1.3508842146048088,Spherical
27,rank,0.19479871381946745,Spherical
28,rank,0.33756932991823935,Spherical
29,rank,1.070610292980381,Spherical
30,rank,0.7082112993969429,Spherical
